date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:02:43	181703/181703	---M-Z	200	added ('OK')	text/html	etag:%222c5c7-6706f784-376f1c7fc7e9d0e7;gz%22	https://revelandotudoavr.com/itauinicio/	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/index.html	(from )
03:02:45	115/115	---M-Z	200	added ('OK')	text/plain	date:Thu,%2010%20Oct%202024%2003:04:17%20GMT	https://revelandotudoavr.com/robots.txt		(from )
03:02:51	2399/2399	---M-Z	200	added ('OK')	text/html	etag:%2295f-6706f03a-e9329211ee69571c;gz%22	https://revelandotudoavr.com/itauinicio/index_1.html	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/index_1.html	(from https://revelandotudoavr.com/itauinicio/)
03:02:58	19438/19438	---M-Z	200	added ('OK')	text/css	etag:%224bee-6706f03a-13fb4befa425bd3f;gz%22	https://revelandotudoavr.com/itauinicio/css/XTnLpmMt11At.css	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/css/XTnLpmMt11At.css	(from https://revelandotudoavr.com/itauinicio/)
03:02:59	119024/119024	---M-Z	200	added ('OK')	text/css	etag:%221d0f0-6706f03a-69ddbd547d059566;gz%22	https://revelandotudoavr.com/itauinicio/css/nCppucHEu089.css	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/css/nCppucHEu089.css	(from https://revelandotudoavr.com/itauinicio/)
03:02:59	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-6706f03a-8bda77b34504c414;gz%22	https://revelandotudoavr.com/itauinicio/css/Ni3PyIikvbi1.css	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/css/Ni3PyIikvbi1.css	(from https://revelandotudoavr.com/itauinicio/)
03:03:01	1160/1160	---M-Z	200	added ('OK')	text/css	etag:%22488-6706f03a-1d5c3808bcf657dc;gz%22	https://revelandotudoavr.com/itauinicio/css/pUsjAtdTSwci.css	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/css/pUsjAtdTSwci.css	(from https://revelandotudoavr.com/itauinicio/)
03:03:01	11405/11405	---M-Z	200	added ('OK')	text/css	etag:%222c8d-6706f03a-9fdafd61fdd4c832;gz%22	https://revelandotudoavr.com/itauinicio/css/olxOqp0EqJcx.css	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/css/olxOqp0EqJcx.css	(from https://revelandotudoavr.com/itauinicio/)
03:03:02	39192/39192	---M-Z	200	added ('OK')	text/css	etag:%229918-6706f03a-1a1c14758bb287ab;gz%22	https://revelandotudoavr.com/itauinicio/css/IsWY70CMjxAQ.css	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/css/IsWY70CMjxAQ.css	(from https://revelandotudoavr.com/itauinicio/)
03:03:05	526/526	---M-Z	200	added ('OK')	text/css	etag:%2220e-6706f03a-3567201cf20ef36f;gz%22	https://revelandotudoavr.com/itauinicio/css/kzNsPPt5zCyT.css	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/css/kzNsPPt5zCyT.css	(from https://revelandotudoavr.com/itauinicio/)
03:03:09	1362/1362	---M--	200	added ('OK')	image/png	etag:%22552-6706f03a-3e488e68d6815af1;;;%22	https://revelandotudoavr.com/itauinicio/images/hLk8YZ6XVpuL.png	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/images/hLk8YZ6XVpuL.png	(from https://revelandotudoavr.com/itauinicio/)
03:03:10	61525/61525	---M--	200	added ('OK')	image/jpeg	etag:%22f055-6706f03a-b702f048a1d4136a;;;%22	https://revelandotudoavr.com/itauinicio/images/tC4h11BAPGdF.jpeg	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/images/tC4h11BAPGdF.jpg	(from https://revelandotudoavr.com/itauinicio/)
03:03:11	81894/81894	---M--	200	added ('OK')	image/jpeg	etag:%2213fe6-6706f03a-a3cda4eeae0b30bf;;;%22	https://revelandotudoavr.com/itauinicio/images/w79xmmiblR4S.jpeg	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/images/w79xmmiblR4S.jpg	(from https://revelandotudoavr.com/itauinicio/)
03:03:12	110724/110724	---M--	200	added ('OK')	image/jpeg	etag:%221b084-6706f03a-9810179030e9de8f;;;%22	https://revelandotudoavr.com/itauinicio/images/4XUavhcsE9zC.jpeg	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/images/4XUavhcsE9zC.jpg	(from https://revelandotudoavr.com/itauinicio/)
